time_s,true_angle_deg,measurement_deg,reactive_beam_deg,cv_beam_deg,ca_beam_deg
11.950000000000001,55.830875000000006,,48.88288415224325,51.67286925395068,56.98979744062369
12.0,56.39999999999999,,48.88288415224325,52.11344789135597,57.57255610858901
12.05,56.970875000000014,,48.88288415224325,52.554026528761256,58.15711986684051
12.100000000000001,57.543500000000016,,48.88288415224325,52.994605166166544,58.743488715378184
12.15,58.117875,,48.88288415224325,53.43518380357183,59.331662654202034
12.200000000000001,58.69400000000001,,48.88288415224325,53.87576244097712,59.92164168331206
12.25,59.271874999999994,,48.88288415224325,54.31634107838241,60.51342580270826
12.3,59.85150000000001,59.37871875729762,48.88288415224325,54.756919715787696,61.10701501239065
12.350000000000001,60.43287500000001,,59.37871875729762,56.48223155194004,60.95987690503786
12.4,61.016000000000005,,59.37871875729762,56.94043791554812,61.54111192856704
12.450000000000001,61.600875,,59.37871875729762,57.398644279156194,62.12397930136867
12.5,62.1875,,59.37871875729762,57.85685064276427,62.70847902344275
12.55,62.775875000000006,,59.37871875729762,58.31505700637235,63.294611094789275
12.600000000000001,63.366000000000014,60.70309530970117,59.37871875729762,58.77326336998043,63.88237551540825
12.65,63.95787500000001,,60.70309530970117,59.71011517655775,63.325745857907535
12.700000000000001,64.5515,,60.70309530970117,60.17485352492096,63.89214559208302
12.75,65.146875,,60.70309530970117,60.639591873284175,64.45991030524308
12.8,65.744,,60.70309530970117,61.10433022164739,65.02903999738776
12.850000000000001,66.34287500000002,,60.70309530970117,61.5690685700106,65.59953466851701
12.9,66.9435,68.35988222731316,60.70309530970117,62.03380691837381,66.17139431863086
12.950000000000001,67.545875,,68.35988222731316,63.93656767405727,67.44733963777021
13.0,68.15,,68.35988222731316,64.42102010947667,68.03721717101527
13.05,68.755875,,68.35988222731316,64.90547254489607,68.62862801747075
13.100000000000001,69.36350000000002,,68.35988222731316,65.38992498031547,69.22157217713664
13.15,69.972875,,68.35988222731316,65.87437741573487,69.81604965001294
13.200000000000001,70.584,,68.35988222731316,66.35882985115427,70.41206043609968
