trial,bits,iteration,sum_rate
60,2,1,4.7293653955256225
60,2,2,5.026898436399495
60,3,0,1.1953131848640484
60,3,1,4.546139053835497
60,3,2,5.117768999202701
61,1,0,1.7483379839180364
61,1,1,3.8759489044098965
61,1,2,3.9263687440166564
61,2,0,1.7483379839180364
61,2,1,4.518582843938504
61,2,2,4.880885896406037
61,3,0,1.7483379839180364
61,3,1,4.779376656585001
61,3,2,5.213152374425146
62,1,0,1.5378329176740517
62,1,1,3.0910206608222683
62,1,2,3.6470822819336
62,2,0,1.5378329176740517
62,2,1,3.8036794727287777
62,2,2,4.985246505698885
62,3,0,1.5378329176740517
62,3,1,3.6214520879242533
62,3,2,4.8119773690336425
63,1,0,1.7130478933169133
63,1,1,5.121702172113495
63,1,2,5.5384578813655345
63,2,0,1.7130478933169133
63,2,1,5.2444654647604425
63,2,2,5.834981939704374
63,3,0,1.7130478933169133
63,3,1,5.2295323030317515
63,3,2,6.41395695893012
64,1,0,2.183902417393492
64,1,1,3.7887628336674988
64,1,2,4.391061929966301
64,2,0,2.183902417393492
64,2,1,4.119811285183661
64,2,2,4.721821635394199
64,3,0,2.183902417393492
64,3,1,4.206043449556094
64,3,2,4.699516424710139
65,1,0,0.9690833051988723
65,1,1,3.875363479165638
65,1,2,3.8917478719411003
65,2,0,0.9690833051988723
65,2,1,4.502983864204079
65,2,2,5.8314282977559815
65,3,0,0.9690833051988723
65,3,1,4.871046965479811
65,3,2,5.816533512524167
66,1,0,2.6159406347894167
66,1,1,3.5550005636715634
66,1,2,4.00384154295946
66,2,0,2.6159406347894167
66,2,1,3.824937522887505
66,2,2,4.542151971604321
66,3,0,2.6159406347894167
66,3,1,4.102866427058844
66,3,2,4.688109443626579
67,1,0,1.9988625204203774
67,1,1,5.53539687640022
67,1,2,5.843184534508537
67,2,0,1.9988625204203774
67,2,1,5.093567352500939
67,2,2,6.561497329883728
67,3,0,1.9988625204203774
67,3,1,5.915786278264992
67,3,2,6.785450643869535
68,1,0,1.0539511005530893
68,1,1,5.306543434443484
68,1,2,5.500639976501839
68,2,0,1.0539511005530893
68,2,1,5.88655140636574
68,2,2,6.206422789502964
68,3,0,1.0539511005530893
68,3,1,5.99232267078742
68,3,2,6.316495220115193
69,1,0,2.5176343687090843
69,1,1,4.356721886939274
69,1,2,4.413112851816196
69,2,0,2.5176343687090843
69,2,1,4.946617743173523
69,2,2,5.2172482194864465
69,3,0,2.5176343687090843
69,3,1,4.717895214877165
69,3,2,5.03852141248875
