scheme,slot,prior_std_deg,sensing_fraction,elements,posterior_std_deg,raw_rate,net_rate,score
No sensing,84,1.0147322116224937,0.0,64,1.0147322116224937,2.363195511165292,2.363195511165292,
No sensing,85,1.05158428787277,0.0,64,1.05158428787277,2.3141690562254573,2.3141690562254573,
No sensing,86,1.0911423242929783,0.0,64,1.0911423242929783,2.263353771789321,2.263353771789321,
No sensing,87,1.1333265627792268,0.0,32,1.1333265627792268,2.229124974591397,2.229124974591397,
No sensing,88,1.1780507447144437,0.0,32,1.1780507447144437,2.2013969618214624,2.2013969618214624,
No sensing,89,1.2252250462817889,0.0,32,1.2252250462817889,2.171799070531542,2.171799070531542,
No sensing,90,1.2747584607100038,0.0,32,1.2747584607100038,2.140454568539528,2.140454568539528,
No sensing,91,1.3265606578584064,0.0,32,1.3265606578584064,2.107515207239948,2.107515207239948,
No sensing,92,1.3805433770885553,0.0,32,1.3805433770885553,2.073156994403689,2.073156994403689,
No sensing,93,1.4366214215292306,0.0,32,1.4366214215292306,2.0375747519650576,2.0375747519650576,
No sensing,94,1.4947133242891102,0.0,32,1.4947133242891102,2.000975880389859,2.000975880389859,
No sensing,95,1.554741753335316,0.0,32,1.554741753335316,1.9635738183602378,1.9635738183602378,
No sensing,96,1.6166337144127205,0.0,32,1.6166337144127205,1.9255816803027193,1.9255816803027193,
No sensing,97,1.6803206025492239,0.0,32,1.6803206025492239,1.8872064802630986,1.8872064802630986,
No sensing,98,1.745738143708734,0.0,32,1.745738143708734,1.8486442323944714,1.8486442323944714,
No sensing,99,1.8128262598024807,0.0,32,1.8128262598024807,1.810076093436721,1.810076093436721,
No sensing,100,1.8815288829432792,0.0,32,1.8815288829432792,1.7716656126476586,1.7716656126476586,
No sensing,101,1.9517937386592643,0.0,32,1.9517937386592643,1.7335570818854789,1.7335570818854789,
No sensing,102,2.0235721127495103,0.0,32,2.0235721127495103,1.695874912651968,1.695874912651968,
No sensing,103,2.09681861245619,0.0,32,2.09681861245619,1.6587239004306664,1.6587239004306664,
No sensing,104,2.1714909295030353,0.0,32,2.1714909295030353,1.6221901869855428,1.6221901869855428,
No sensing,105,2.247549610157732,0.0,32,2.247549610157732,1.5863427155224237,1.5863427155224237,
No sensing,106,2.3249578356757885,0.0,32,2.3249578356757885,1.5512349891553563,1.5512349891553563,
No sensing,107,2.403681215151682,0.0,32,2.403681215151682,1.5169069738575032,1.5169069738575032,
No sensing,108,2.4836875918354804,0.0,32,2.4836875918354804,1.4833870171267196,1.4833870171267196,
No sensing,109,2.564946863284408,0.0,16,2.564946863284408,1.453610644070354,1.453610644070354,
No sensing,110,2.647430815240871,0.0,16,2.647430815240871,1.434281728529504,1.434281728529504,
No sensing,111,2.7311129688077136,0.0,16,2.7311129688077136,1.4147451988293032,1.4147451988293032,
No sensing,112,2.8159684402865093,0.0,16,2.8159684402865093,1.3950513375531814,1.3950513375531814,
No sensing,113,2.9019738129238335,0.0,16,2.9019738129238335,1.375249162477139,1.375249162477139,
No sensing,114,2.9891070197496687,0.0,16,2.9891070197496687,1.355385898809352,1.355385898809352,
No sensing,115,3.077347236673446,0.0,16,3.077347236673446,1.3355065310194345,1.3355065310194345,
No sensing,116,3.166674785013362,0.0,16,3.166674785013362,1.315653438862302,1.315653438862302,
No sensing,117,3.2570710426637652,0.0,16,3.2570710426637652,1.2958661181536604,1.2958661181536604,
No sensing,118,3.3485183631464226,0.0,16,3.3485183631464226,1.2761809834077689,1.2761809834077689,
No sensing,119,3.4410000018393245,0.0,16,3.4410000018393245,1.2566312468257388,1.2566312468257388,
No sensing,120,3.534500048727687,0.0,16,3.534500048727687,1.2372468664155565,1.2372468664155565,
